iter	Passed	Remaining
0	27	27834
1	53	26905
2	79	26400
3	104	26142
4	180	35826
5	221	36619
6	262	37183
7	279	34675
8	294	32408
9	310	30691
10	326	29378
11	343	28269
12	357	27154
13	370	26077
14	389	25604
15	402	24777
16	417	24116
17	431	23514
18	449	23228
19	471	23109
20	485	22628
21	497	22126
22	513	21817
23	525	21384
24	538	20999
25	552	20692
26	567	20465
27	580	20142
28	604	20256
29	623	20166
30	638	19951
31	650	19668
32	665	19502
33	686	19493
34	708	19540
35	727	19471
36	742	19319
37	757	19182
38	773	19063
39	789	18952
40	808	18912
41	825	18839
42	843	18770
43	872	18953
44	885	18790
45	906	18806
46	934	18949
47	950	18846
48	978	18990
49	1006	19121
50	1022	19035
51	1035	18880
52	1052	18807
53	1068	18716
54	1080	18557
55	1095	18465
56	1118	18508
57	1133	18412
58	1147	18297
59	1166	18280
60	1196	18418
61	1235	18693
62	1326	19726
63	1373	20083
64	1398	20113
65	1418	20075
66	1436	20007
67	1455	19951
68	1543	20823
69	1579	20980
70	1610	21075
71	1633	21059
72	1657	21052
73	1678	21004
74	1696	20927
75	1717	20878
76	1737	20832
77	1764	20858
78	1783	20791
79	1807	20784
80	1829	20756
81	1853	20752
82	1877	20739
83	1899	20708
84	1921	20679
85	1943	20650
86	1968	20656
87	1988	20610
88	2019	20669
89	2042	20654
90	2068	20665
91	2094	20673
92	2119	20672
93	2149	20713
94	2172	20691
95	2189	20617
96	2213	20606
97	2228	20511
98	2243	20418
99	2260	20346
100	2272	20223
101	2289	20155
102	2310	20120
103	2327	20048
104	2343	19975
105	2363	19936
106	2382	19879
107	2402	19842
108	2422	19804
109	2439	19741
110	2460	19705
111	2477	19641
112	2497	19603
113	2512	19529
114	2527	19453
115	2542	19376
116	2561	19330
117	2576	19256
118	2593	19202
119	2609	19139
120	2625	19069
121	2642	19016
122	2663	18991
123	2680	18937
124	2703	18921
125	2718	18856
126	2734	18797
127	2756	18777
128	2773	18728
129	2789	18666
130	2802	18590
131	2818	18532
132	2838	18504
133	2854	18447
134	2868	18380
135	2884	18322
136	2897	18251
137	2912	18192
138	2928	18137
139	2943	18083
140	2959	18027
141	2975	17976
142	2990	17923
143	3006	17872
144	3021	17814
145	3036	17762
146	3052	17710
147	3068	17662
148	3084	17617
149	3099	17563
150	3111	17493
151	3126	17443
152	3142	17396
153	3155	17332
154	3168	17273
155	3184	17226
156	3198	17176
157	3217	17145
158	3233	17100
159	3246	17046
160	3263	17007
161	3278	16960
162	3291	16902
163	3305	16852
164	3322	16815
165	3336	16760
166	3350	16710
167	3365	16669
168	3381	16627
169	3396	16585
170	3413	16546
171	3429	16510
172	3443	16458
173	3457	16414
174	3471	16367
175	3486	16322
176	3501	16282
177	3516	16239
178	3530	16190
179	3543	16142
180	3557	16099
181	3573	16062
182	3588	16022
183	3671	16283
184	3734	16451
185	3794	16604
186	3833	16665
187	3868	16706
188	3902	16746
189	3929	16751
190	3952	16741
191	3979	16748
192	4005	16748
193	4025	16725
194	4042	16686
195	4052	16622
196	4064	16569
197	4077	16514
198	4092	16471
199	4110	16440
200	4123	16393
201	4134	16334
202	4146	16280
203	4159	16228
204	4175	16192
205	4193	16165
206	4217	16157
207	4239	16143
208	4269	16159
209	4299	16173
210	4320	16154
211	4340	16131
212	4361	16115
213	4399	16158
214	4426	16161
215	4448	16147
216	4471	16132
217	4502	16152
218	4539	16190
219	4566	16189
220	4597	16205
221	4623	16202
222	4651	16206
223	4687	16239
224	4718	16252
225	4752	16277
226	4790	16312
227	4824	16335
228	4872	16406
229	4904	16418
230	4984	16594
231	5017	16609
232	5066	16679
233	5094	16675
234	5124	16682
235	5148	16668
236	5170	16646
237	5183	16595
238	5204	16573
239	5229	16558
240	5248	16529
241	5270	16509
242	5297	16503
243	5330	16516
244	5354	16500
245	5433	16654
246	5476	16694
247	5502	16686
248	5525	16665
249	5552	16657
250	5595	16696
251	5628	16707
252	5652	16690
253	5685	16697
254	5715	16699
255	5822	16922
256	5870	16972
257	5916	17014
258	5943	17003
259	5967	16984
260	5991	16963
261	6008	16924
262	6025	16884
263	6041	16843
264	6062	16816
265	6093	16813
266	6126	16817
267	6162	16830
268	6189	16820
269	6220	16818
270	6252	16819
271	6288	16830
272	6316	16819
273	6352	16830
274	6381	16824
275	6413	16823
276	6452	16841
277	6481	16833
278	6514	16833
279	6543	16826
280	6576	16826
281	6621	16858
282	6659	16872
283	6699	16889
284	6737	16902
285	6772	16908
286	6801	16898
287	6835	16898
288	6861	16881
289	6898	16890
290	6942	16915
291	6993	16957
292	7033	16971
293	7080	17003
294	7116	17007
295	7152	17012
296	7189	17016
297	7219	17006
298	7239	16972
299	7256	16931
300	7268	16878
301	7283	16833
302	7296	16785
303	7309	16734
304	7322	16685
305	7335	16637
306	7348	16587
307	7360	16536
308	7373	16488
309	7387	16443
310	7399	16394
311	7411	16342
312	7423	16293
313	7436	16247
314	7449	16200
315	7462	16152
316	7476	16107
317	7487	16058
318	7505	16022
319	7518	15977
320	7532	15933
321	7545	15888
322	7558	15842
323	7570	15794
324	7588	15759
325	7609	15733
326	7632	15708
327	7655	15683
328	7676	15656
329	7690	15613
330	7708	15580
331	7723	15539
332	7738	15499
333	7751	15456
334	7764	15412
335	7775	15366
336	7788	15321
337	7800	15277
338	7816	15241
339	7828	15196
340	7841	15153
341	7860	15124
342	7874	15082
343	7888	15042
344	7900	15000
345	8015	15150
346	8050	15149
347	8081	15140
348	8098	15106
349	8131	15102
350	8150	15070
351	8170	15041
352	8194	15019
353	8215	14991
354	8229	14952
355	8244	14913
356	8261	14880
357	8276	14842
358	8290	14803
359	8307	14768
360	8322	14731
361	8337	14694
362	8352	14657
363	8368	14621
364	8380	14579
365	8394	14541
366	8410	14506
367	8427	14472
368	8439	14431
369	8452	14391
370	8469	14358
371	8486	14327
372	8499	14287
373	8513	14249
374	8529	14215
375	8544	14180
376	8567	14158
377	8593	14140
378	8616	14118
379	8702	14198
380	8740	14200
381	8769	14187
382	8797	14172
383	8832	14168
384	8855	14145
385	8875	14117
